months,P3,P10,P25,P50,P75,P90,P97,,,,,,,,
58 ,99.6 ,102.4 ,105.2 ,108.4 ,111.5 ,114.4 ,117.2 ,,,,,,,,
59 ,100.0 ,102.9 ,105.7 ,108.9 ,112.1 ,114.9 ,117.8 ,,,,,,,,
60 ,100.5 ,103.3 ,106.2 ,109.4 ,112.6 ,115.5 ,118.4 ,,,,,,,,
61 ,100.6 ,103.5 ,106.4 ,109.6 ,112.8 ,115.7 ,118.6 ,,,,,,,,
62 ,101.1 ,104.0 ,106.9 ,110.1 ,113.4 ,116.3 ,119.2 ,,,,,,,,
63 ,101.5 ,104.5 ,107.4 ,110.6 ,113.9 ,116.8 ,119.7 ,,,,,,,,
64 ,102.0 ,104.9 ,107.9 ,111.2 ,114.4 ,117.4 ,120.3 ,,,,,,,,
65 ,102.4 ,105.4 ,108.4 ,111.7 ,115.0 ,117.9 ,120.9 ,,,,,,,,
66 ,102.9 ,105.9 ,108.8 ,112.2 ,115.5 ,118.5 ,121.5 ,,,,,,,,
67 ,103.3 ,106.3 ,109.3 ,112.7 ,116.0 ,119.0 ,122.0 ,,,,,,,,
68 ,103.8 ,106.8 ,109.8 ,113.2 ,116.5 ,119.6 ,122.6 ,,,,,,,,
69 ,104.2 ,107.2 ,110.3 ,113.7 ,117.1 ,120.1 ,123.1 ,,,,,,,,
70 ,104.6 ,107.7 ,110.7 ,114.2 ,117.6 ,120.6 ,123.7 ,,,,,,,,
71 ,105.1 ,108.1 ,111.2 ,114.6 ,118.1 ,121.2 ,124.2 ,,,,,,,,
72 ,105.5 ,108.6 ,111.7 ,115.1 ,118.6 ,121.7 ,124.8 ,,,,,,,,
73 ,105.9 ,109.0 ,112.1 ,115.6 ,119.1 ,122.2 ,125.3 ,,,,,,,,
74 ,106.3 ,109.5 ,112.6 ,116.1 ,119.6 ,122.7 ,125.8 ,,,,,,,,
75 ,106.8 ,109.9 ,113.0 ,116.6 ,120.1 ,123.2 ,126.4 ,,,,,,,,
76 ,107.2 ,110.3 ,113.5 ,117.0 ,120.6 ,123.7 ,126.9 ,,,,,,,,
77 ,107.6 ,110.8 ,114.0 ,117.5 ,121.1 ,124.2 ,127.4 ,,,,,,,,
78 ,108.0 ,111.2 ,114.4 ,118.0 ,121.5 ,124.8 ,127.9 ,,,,,,,,
79 ,108.4 ,111.6 ,114.9 ,118.4 ,122.0 ,125.3 ,128.5 ,,,,,,,,
80 ,108.9 ,112.1 ,115.3 ,118.9 ,122.5 ,125.8 ,129.0 ,,,,,,,,
81 ,109.3 ,112.5 ,115.8 ,119.4 ,123.0 ,126.3 ,129.5 ,,,,,,,,
82 ,109.7 ,112.9 ,116.2 ,119.9 ,123.5 ,126.8 ,130.0 ,,,,,,,,
83 ,110.1 ,113.4 ,116.7 ,120.3 ,124.0 ,127.3 ,130.6 ,,,,,,,,
84 ,110.5 ,113.8 ,117.1 ,120.8 ,124.5 ,127.8 ,131.1 ,,,,,,,,
85 ,110.9 ,114.2 ,117.5 ,121.2 ,124.8 ,128.2 ,131.5 ,,,,,,,,
86 ,111.4 ,114.5 ,117.8 ,121.5 ,125.1 ,128.5 ,131.8 ,,,,,,,,
87 ,111.8 ,114.9 ,118.2 ,121.9 ,125.4 ,128.9 ,132.2 ,,,,,,,,
88 ,112.2 ,115.3 ,118.6 ,122.3 ,125.6 ,129.3 ,132.6 ,,,,,,,,
89 ,112.7 ,115.6 ,118.9 ,122.6 ,125.9 ,129.6 ,132.9 ,,,,,,,,
90 ,113.1 ,116.0 ,119.3 ,123.0 ,126.2 ,130.0 ,133.3 ,,,,,,,,
91 ,113.5 ,116.5 ,119.8 ,123.5 ,126.7 ,130.5 ,133.8 ,,,,,,,,
92 ,114.0 ,116.9 ,120.2 ,123.9 ,127.2 ,131.0 ,134.4 ,,,,,,,,
93 ,114.4 ,117.4 ,120.7 ,124.4 ,127.7 ,131.5 ,134.9 ,,,,,,,,
94 ,114.8 ,117.8 ,121.1 ,124.9 ,128.2 ,132.0 ,135.4 ,,,,,,,,
95 ,115.3 ,118.3 ,121.6 ,125.3 ,128.7 ,132.5 ,136.0 ,,,,,,,,
96 ,115.7 ,118.7 ,122.0 ,125.8 ,129.2 ,133.0 ,136.5 ,,,,,,,,
97 ,116.1 ,119.2 ,122.5 ,126.3 ,129.7 ,133.5 ,137.1 ,,,,,,,,
98 ,116.6 ,119.6 ,123.0 ,126.7 ,130.2 ,134.0 ,137.7 ,,,,,,,,
99 ,117.0 ,120.1 ,123.5 ,127.2 ,130.7 ,134.5 ,138.3 ,,,,,,,,
100 ,117.4 ,120.6 ,124.0 ,127.6 ,131.2 ,135.0 ,138.8 ,,,,,,,,
101 ,117.9 ,121.0 ,124.5 ,128.1 ,131.7 ,135.5 ,139.4 ,,,,,,,,
102 ,118.3 ,121.5 ,125.0 ,128.5 ,132.2 ,136.0 ,140.0 ,,,,,,,,
103 ,118.7 ,121.9 ,125.4 ,129.0 ,132.7 ,136.6 ,140.6 ,,,,,,,,
104 ,119.1 ,122.3 ,125.8 ,129.4 ,133.3 ,137.2 ,141.2 ,,,,,,,,
105 ,119.5 ,122.8 ,126.3 ,129.9 ,133.8 ,137.8 ,141.8 ,,,,,,,,
106 ,119.9 ,123.2 ,126.7 ,130.4 ,134.3 ,138.3 ,142.3 ,,,,,,,,
107 ,120.3 ,123.6 ,127.1 ,130.8 ,134.9 ,138.9 ,142.9 ,,,,,,,,
108 ,120.7 ,124.0 ,127.5 ,131.3 ,135.4 ,139.5 ,143.5 ,,,,,,,,
109 ,121.1 ,124.4 ,127.9 ,131.8 ,135.9 ,140.1 ,144.1 ,,,,,,,,
110 ,121.5 ,124.8 ,128.3 ,132.2 ,136.4 ,140.7 ,144.7 ,,,,,,,,
111 ,121.9 ,125.3 ,128.8 ,132.7 ,137.0 ,141.3 ,145.3 ,,,,,,,,
112 ,122.2 ,125.7 ,129.2 ,133.1 ,137.5 ,141.8 ,145.8 ,,,,,,,,
113 ,122.6 ,126.1 ,129.6 ,133.6 ,138.0 ,142.4 ,146.4 ,,,,,,,,
114 ,123.0 ,126.5 ,130.0 ,134.0 ,138.5 ,143.0 ,147.0 ,,,,,,,,
115 ,123.5 ,127.0 ,130.5 ,134.6 ,139.1 ,143.6 ,147.6 ,,,,,,,,
116 ,123.9 ,127.4 ,131.0 ,135.2 ,139.8 ,144.2 ,148.3 ,,,,,,,,
117 ,124.4 ,127.9 ,131.5 ,135.8 ,140.4 ,144.8 ,148.9 ,,,,,,,,
118 ,124.9 ,128.3 ,132.0 ,136.3 ,141.0 ,145.3 ,149.5 ,,,,,,,,
119 ,125.3 ,128.8 ,132.5 ,136.9 ,141.7 ,145.9 ,150.2 ,,,,,,,,
120 ,125.8 ,129.2 ,133.0 ,137.5 ,142.3 ,146.5 ,150.8 ,,,,,,,,
121 ,126.3 ,129.7 ,133.5 ,138.1 ,142.9 ,147.1 ,151.4 ,,,,,,,,
122 ,126.7 ,130.1 ,134.0 ,138.7 ,143.5 ,147.7 ,152.0 ,,,,,,,,
123 ,127.2 ,130.6 ,134.5 ,139.3 ,144.2 ,148.3 ,152.7 ,,,,,,,,
124 ,127.6 ,131.1 ,135.0 ,139.8 ,144.8 ,148.8 ,153.3 ,,,,,,,,
125 ,128.1 ,131.5 ,135.5 ,140.4 ,145.4 ,149.4 ,153.9 ,,,,,,,,
126 ,128.5 ,132.0 ,136.0 ,141.0 ,146.0 ,150.0 ,154.5 ,,,,,,,,
127 ,129.1 ,132.6 ,136.6 ,141.6 ,146.6 ,150.5 ,155.0 ,,,,,,,,
128 ,129.6 ,133.2 ,137.3 ,142.2 ,147.1 ,151.1 ,155.4 ,,,,,,,,
129 ,130.2 ,133.8 ,137.9 ,142.8 ,147.7 ,151.6 ,155.9 ,,,,,,,,
130 ,130.7 ,134.3 ,138.5 ,143.3 ,148.3 ,152.1 ,156.4 ,,,,,,,,
131 ,131.3 ,134.9 ,139.2 ,143.9 ,148.8 ,152.7 ,156.8 ,,,,,,,,
132 ,131.8 ,135.5 ,139.8 ,144.5 ,149.4 ,153.2 ,157.3 ,,,,,,,,
133 ,132.3 ,136.1 ,140.4 ,145.1 ,150.0 ,153.7 ,157.8 ,,,,,,,,
134 ,132.9 ,136.7 ,141.0 ,145.7 ,150.5 ,154.2 ,158.2 ,,,,,,,,
135 ,133.4 ,137.3 ,141.7 ,146.3 ,151.1 ,154.8 ,158.7 ,,,,,,,,
136 ,133.9 ,137.8 ,142.3 ,146.8 ,151.6 ,155.3 ,159.1 ,,,,,,,,
137 ,134.5 ,138.4 ,142.9 ,147.4 ,152.2 ,155.8 ,159.6 ,,,,,,,,
138 ,135.0 ,139.0 ,143.5 ,148.0 ,152.7 ,156.3 ,160.0 ,,,,,,,,
139 ,135.5 ,139.5 ,144.0 ,148.4 ,153.1 ,156.7 ,160.3 ,,,,,,,,
140 ,136.0 ,140.0 ,144.4 ,148.8 ,153.4 ,157.0 ,160.6 ,,,,,,,,
