,months,P3,P10,P25,P50,P75,P90,P97,,,,,,,,
,59,100.8 ,103.5 ,106.3 ,109.4 ,112.5 ,115.3 ,118.1 ,,,,,,,,
,60,101.2 ,104.0 ,106.8 ,110.0 ,113.1 ,115.9 ,118.7 ,,,,,,,,
,61,101.6 ,104.4 ,107.2 ,110.3 ,113.4 ,116.1 ,118.9 ,,,,,,,,
,62,102.1 ,104.9 ,107.7 ,110.8 ,113.9 ,116.7 ,119.5 ,,,,,,,,
,63,102.6 ,105.4 ,108.2 ,111.3 ,114.5 ,117.3 ,120.1 ,,,,,,,,
,64,103.1 ,105.9 ,108.7 ,111.9 ,115.0 ,117.9 ,120.7 ,,,,,,,,
,65,103.5 ,106.4 ,109.2 ,112.4 ,115.6 ,118.4 ,121.3 ,,,,,,,,
,66,104.0 ,106.8 ,109.7 ,112.9 ,116.1 ,119.0 ,121.8 ,,,,,,,,
,67,104.4 ,107.3 ,110.2 ,113.4 ,116.7 ,119.5 ,122.4 ,,,,,,,,
,68,104.9 ,107.8 ,110.7 ,113.9 ,117.2 ,120.1 ,123.0 ,,,,,,,,
,69,105.4 ,108.3 ,111.2 ,114.5 ,117.7 ,120.6 ,123.5 ,,,,,,,,
,70,105.8 ,108.7 ,111.7 ,115.0 ,118.2 ,121.2 ,124.1 ,,,,,,,,
,71,106.2 ,109.2 ,112.2 ,115.5 ,118.8 ,121.7 ,124.7 ,,,,,,,,
,72,106.7 ,109.6 ,112.6 ,116.0 ,119.3 ,122.3 ,125.2 ,,,,,,,,
,73,107.1 ,110.1 ,113.1 ,116.4 ,119.8 ,122.8 ,125.8 ,,,,,,,,
,74,107.6 ,110.6 ,113.6 ,116.9 ,120.3 ,123.3 ,126.3 ,,,,,,,,
,75,108.0 ,111.0 ,114.0 ,117.4 ,120.8 ,123.8 ,126.9 ,,,,,,,,
,76,108.4 ,111.4 ,114.5 ,117.9 ,121.3 ,124.4 ,127.4 ,,,,,,,,
,77,108.8 ,111.9 ,115.0 ,118.4 ,121.8 ,124.9 ,127.9 ,,,,,,,,
,78,109.3 ,112.3 ,115.4 ,118.9 ,122.3 ,125.4 ,128.5 ,,,,,,,,
,79,109.7 ,112.8 ,115.9 ,119.4 ,122.8 ,125.9 ,129.0 ,,,,,,,,
,80,110.1 ,113.2 ,116.3 ,119.8 ,123.3 ,126.4 ,129.5 ,,,,,,,,
,81,110.5 ,113.7 ,116.8 ,120.3 ,123.8 ,127.0 ,130.1 ,,,,,,,,
,82,111.0 ,114.1 ,117.3 ,120.8 ,124.3 ,127.5 ,130.6 ,,,,,,,,
,83,111.4 ,114.5 ,117.7 ,121.3 ,124.8 ,128.0 ,131.1 ,,,,,,,,
,84,111.8 ,115.0 ,118.2 ,121.7 ,125.3 ,128.5 ,131.7 ,,,,,,,,
,85,112.3 ,115.4 ,118.6 ,122.1 ,125.7 ,128.9 ,132.1 ,,,,,,,,
,86,112.7 ,115.8 ,119.0 ,122.5 ,126.0 ,129.3 ,132.6 ,,,,,,,,
,87,113.2 ,116.2 ,119.4 ,122.9 ,126.4 ,129.7 ,133.0 ,,,,,,,,
,88,113.6 ,116.7 ,119.7 ,123.2 ,126.8 ,130.1 ,133.4 ,,,,,,,,
,89,114.1 ,117.1 ,120.1 ,123.6 ,127.1 ,130.5 ,133.9 ,,,,,,,,
,90,114.5 ,117.5 ,120.5 ,124.0 ,127.5 ,130.9 ,134.3 ,,,,,,,,
,91,114.9 ,117.9 ,121.0 ,124.5 ,128.0 ,131.4 ,134.8 ,,,,,,,,
,92,115.3 ,118.3 ,121.4 ,124.9 ,128.4 ,131.9 ,135.3 ,,,,,,,,
,93,115.8 ,118.8 ,121.9 ,125.4 ,128.9 ,132.4 ,135.8 ,,,,,,,,
,94,116.2 ,119.2 ,122.4 ,125.9 ,129.4 ,132.8 ,136.2 ,,,,,,,,
,95,116.6 ,119.6 ,122.8 ,126.3 ,129.8 ,133.3 ,136.7 ,,,,,,,,
,96,117.0 ,120.0 ,123.3 ,126.8 ,130.3 ,133.8 ,137.2 ,,,,,,,,
,97,117.4 ,120.4 ,123.8 ,127.3 ,130.8 ,134.3 ,137.7 ,,,,,,,,
,98,117.8 ,120.8 ,124.2 ,127.7 ,131.2 ,134.8 ,138.1 ,,,,,,,,
,99,118.3 ,121.3 ,124.7 ,128.2 ,131.7 ,135.3 ,138.6 ,,,,,,,,
,100,118.7 ,121.7 ,125.1 ,128.6 ,132.1 ,135.7 ,139.1 ,,,,,,,,
,101,119.1 ,122.1 ,125.6 ,129.1 ,132.6 ,136.2 ,139.5 ,,,,,,,,
,102,119.5 ,122.5 ,126.0 ,129.5 ,133.0 ,136.7 ,140.0 ,,,,,,,,
,103,119.9 ,122.9 ,126.3 ,129.9 ,133.4 ,137.1 ,140.4 ,,,,,,,,
,104,120.3 ,123.2 ,126.7 ,130.3 ,133.8 ,137.5 ,140.8 ,,,,,,,,
,105,120.7 ,123.6 ,127.0 ,130.7 ,134.3 ,137.9 ,141.3 ,,,,,,,,
,106,121.0 ,124.0 ,127.3 ,131.0 ,134.7 ,138.3 ,141.7 ,,,,,,,,
,107,121.4 ,124.3 ,127.7 ,131.4 ,135.1 ,138.7 ,142.1 ,,,,,,,,
,108,121.8 ,124.7 ,128.0 ,131.8 ,135.5 ,139.1 ,142.5 ,,,,,,,,
,109,122.2 ,125.1 ,128.3 ,132.2 ,135.9 ,139.5 ,142.9 ,,,,,,,,
,110,122.5 ,125.5 ,128.7 ,132.5 ,136.3 ,139.9 ,143.3 ,,,,,,,,
,111,122.9 ,125.9 ,129.0 ,132.9 ,136.8 ,140.3 ,143.8 ,,,,,,,,
,112,123.3 ,126.2 ,129.3 ,133.3 ,137.2 ,140.7 ,144.2 ,,,,,,,,
,113,123.6 ,126.6 ,129.7 ,133.6 ,137.6 ,141.1 ,144.6 ,,,,,,,,
,114,124.0 ,127.0 ,130.0 ,134.0 ,138.0 ,141.5 ,145.0 ,,,,,,,,
,115,124.3 ,127.4 ,130.4 ,134.4 ,138.4 ,142.0 ,145.6 ,,,,,,,,
,116,124.7 ,127.7 ,130.8 ,134.8 ,138.8 ,142.4 ,146.1 ,,,,,,,,
,117,125.0 ,128.1 ,131.3 ,135.3 ,139.3 ,142.9 ,146.7 ,,,,,,,,
,118,125.3 ,128.5 ,131.7 ,135.7 ,139.7 ,143.3 ,147.2 ,,,,,,,,
,119,125.7 ,128.8 ,132.1 ,136.1 ,140.1 ,143.8 ,147.8 ,,,,,,,,
,120,126.0 ,129.2 ,132.5 ,136.5 ,140.5 ,144.2 ,148.3 ,,,,,,,,
,121,126.3 ,129.6 ,132.9 ,136.9 ,140.9 ,144.7 ,148.8 ,,,,,,,,
,122,126.7 ,130.0 ,133.3 ,137.3 ,141.3 ,145.1 ,149.4 ,,,,,,,,
,123,127.0 ,130.4 ,133.8 ,137.8 ,141.8 ,145.6 ,149.9 ,,,,,,,,
,124,127.3 ,130.7 ,134.2 ,138.2 ,142.2 ,146.1 ,150.4 ,,,,,,,,
,125,127.7 ,131.1 ,134.6 ,138.6 ,142.6 ,146.5 ,151.0 ,,,,,,,,
,126,128.0 ,131.5 ,135.0 ,139.0 ,143.0 ,147.0 ,151.5 ,,,,,,,,
,127,128.4 ,132.0 ,135.5 ,139.5 ,143.6 ,147.7 ,152.3 ,,,,,,,,
,128,128.8 ,132.4 ,135.9 ,140.0 ,144.2 ,148.4 ,153.0 ,,,,,,,,
,129,129.3 ,132.9 ,136.4 ,140.5 ,144.9 ,149.1 ,153.8 ,,,,,,,,
,130,129.7 ,133.3 ,136.9 ,141.0 ,145.5 ,149.8 ,154.6 ,,,,,,,,
,131,130.1 ,133.8 ,137.3 ,141.5 ,146.1 ,150.5 ,155.3 ,,,,,,,,
,132,130.5 ,134.2 ,137.8 ,142.0 ,146.7 ,151.2 ,156.1 ,,,,,,,,
,133,130.9 ,134.7 ,138.3 ,142.5 ,147.3 ,151.9 ,156.9 ,,,,,,,,
,134,131.3 ,135.1 ,138.7 ,143.0 ,147.9 ,152.6 ,157.6 ,,,,,,,,
,135,131.8 ,135.6 ,139.2 ,143.5 ,148.6 ,153.3 ,158.4 ,,,,,,,,
,136,132.2 ,136.1 ,139.6 ,144.0 ,149.2 ,154.0 ,159.2 ,,,,,,,,
,137,132.6 ,136.5 ,140.1 ,144.5 ,149.8 ,154.7 ,159.9 ,,,,,,,,
,138,133.0 ,137.0 ,140.5 ,145.0 ,150.4 ,155.4 ,160.7 ,,,,,,,,
,139,133.4 ,137.4 ,141.1 ,145.6 ,151.0 ,156.0 ,161.3 ,,,,,,,,
,140,133.9 ,137.8 ,141.6 ,146.3 ,151.7 ,156.7 ,161.9 ,,,,,,,,
,141,134.3 ,138.3 ,142.2 ,146.9 ,152.3 ,157.3 ,162.6 ,,,,,,,,
,142,134.7 ,138.7 ,142.7 ,147.5 ,152.9 ,157.9 ,163.2 ,,,,,,,,
,143,135.2 ,139.1 ,143.3 ,148.2 ,153.6 ,158.6 ,163.8 ,,,,,,,,
,144,135.6 ,139.5 ,143.8 ,148.8 ,154.2 ,159.2 ,164.4 ,,,,,,,,
,145,136.0 ,140.0 ,144.3 ,149.4 ,154.8 ,159.8 ,165.0 ,,,,,,,,
,146,136.5 ,140.5 ,144.9 ,150.0 ,155.5 ,160.5 ,165.6 ,,,,,,,,
,147,136.9 ,141.0 ,145.4 ,150.7 ,156.1 ,161.1 ,166.2 ,,,,,,,,
,148,137.3 ,141.5 ,145.9 ,151.3 ,156.7 ,161.7 ,166.8 ,,,,,,,,
,149,137.8 ,142.0 ,146.5 ,151.9 ,157.4 ,162.4 ,167.4 ,,,,,,,,
,150,138.2 ,142.5 ,147.0 ,152.5 ,158.0 ,163.0 ,168.0 ,,,,,,,,
,151,138.8 ,143.2 ,147.8 ,153.2 ,158.7 ,163.6 ,168.5 ,,,,,,,,
,152,139.4 ,143.8 ,148.5 ,154.0 ,159.3 ,164.2 ,169.0 ,,,,,,,,
,153,140.1 ,144.5 ,149.3 ,154.7 ,160.0 ,164.8 ,169.5 ,,,,,,,,
,154,140.7 ,145.1 ,150.0 ,155.4 ,160.7 ,165.3 ,170.0 ,,,,,,,,
,155,141.3 ,145.8 ,150.8 ,156.2 ,161.3 ,165.9 ,170.5 ,,,,,,,,
,156,141.9 ,146.4 ,151.5 ,156.9 ,162.0 ,166.5 ,171.0 ,,,,,,,,
,157,142.5 ,147.1 ,152.3 ,157.6 ,162.7 ,167.1 ,171.5 ,,,,,,,,
,158,143.1 ,147.8 ,153.0 ,158.3 ,163.3 ,167.7 ,172.0 ,,,,,,,,
,159,143.7 ,148.6 ,153.8 ,159.1 ,164.0 ,168.3 ,172.5 ,,,,,,,,
,160,144.3 ,149.3 ,154.5 ,159.8 ,164.7 ,168.9 ,173.0 ,,,,,,,,
,161,144.9 ,150.0 ,155.3 ,160.5 ,165.3 ,169.5 ,173.5 ,,,,,,,,
,162,145.5 ,150.7 ,156.0 ,161.2 ,166.0 ,170.1 ,174.0 ,,,,,,,,
,163,146.1 ,151.3 ,156.5 ,161.7 ,166.4 ,170.4 ,174.3 ,,,,,,,,
,164,146.8 ,151.9 ,157.0 ,162.1 ,166.8 ,170.7 ,174.7 ,,,,,,,,
,165,147.4 ,152.5 ,157.5 ,162.6 ,167.2 ,171.1 ,175.0 ,,,,,,,,
,166,148.0 ,153.0 ,158.0 ,163.1 ,167.5 ,171.4 ,175.3 ,,,,,,,,
,167,148.7 ,153.6 ,158.5 ,163.5 ,167.9 ,171.7 ,175.7 ,,,,,,,,
,168,149.3 ,154.2 ,159.0 ,164.0 ,168.3 ,172.0 ,176.0 ,,,,,,,,
,169,149.9 ,154.8 ,159.5 ,164.4 ,168.7 ,172.3 ,176.3 ,,,,,,,,
,170,150.5 ,155.4 ,160.0 ,164.7 ,169.0 ,172.7 ,176.7 ,,,,,,,,
,171,151.2 ,156.0 ,160.5 ,165.1 ,169.4 ,173.0 ,177.0 ,,,,,,,,
,172,151.8 ,156.6 ,161.0 ,165.5 ,169.8 ,173.3 ,177.3 ,,,,,,,,
,173,152.4 ,157.2 ,161.5 ,165.8 ,170.1 ,173.7 ,177.7 ,,,,,,,,
,174,153.0 ,157.8 ,162.0 ,166.2 ,170.5 ,174.0 ,178.0 ,,,,,,,,
,175,153.4 ,158.1 ,162.3 ,166.4 ,170.7 ,174.2 ,178.2 ,,,,,,,,
,176,153.8 ,158.4 ,162.5 ,166.7 ,170.9 ,174.4 ,178.3 ,,,,,,,,
,177,154.3 ,158.8 ,162.8 ,166.9 ,171.2 ,174.6 ,178.5 ,,,,,,,,
,178,154.7 ,159.1 ,163.0 ,167.1 ,171.4 ,174.8 ,178.7 ,,,,,,,,
,179,155.1 ,159.4 ,163.3 ,167.4 ,171.6 ,175.0 ,178.8 ,,,,,,,,
,180,155.5 ,159.7 ,163.5 ,167.6 ,171.8 ,175.2 ,179.0 ,,,,,,,,
,181,155.9 ,160.0 ,163.8 ,167.8 ,172.0 ,175.4 ,179.2 ,,,,,,,,
,182,156.3 ,160.4 ,164.0 ,168.1 ,172.2 ,175.6 ,179.3 ,,,,,,,,
,183,156.8 ,160.7 ,164.3 ,168.3 ,172.4 ,175.9 ,179.5 ,,,,,,,,
,184,157.2 ,161.0 ,164.5 ,168.5 ,172.6 ,176.1 ,179.7 ,,,,,,,,
,185,157.6 ,161.4 ,164.8 ,168.8 ,172.8 ,176.3 ,179.8 ,,,,,,,,
,186,158.0 ,161.7 ,165.0 ,169.0 ,173.0 ,176.5 ,180.0 ,,,,,,,,
,187,158.2 ,161.9 ,165.2 ,169.2 ,173.1 ,176.6 ,180.1 ,,,,,,,,
,188,158.4 ,162.1 ,165.4 ,169.3 ,173.3 ,176.8 ,180.2 ,,,,,,,,
,189,158.7 ,162.3 ,165.6 ,169.5 ,173.4 ,176.9 ,180.3 ,,,,,,,,
,190,158.9 ,162.4 ,165.8 ,169.7 ,173.5 ,177.0 ,180.3 ,,,,,,,,
,191,159.1 ,162.6 ,166.0 ,169.8 ,173.7 ,177.2 ,180.4 ,,,,,,,,
,192,159.3 ,162.8 ,166.2 ,170.0 ,173.8 ,177.3 ,180.5 ,,,,,,,,
,193,159.5 ,163.0 ,166.4 ,170.2 ,173.9 ,177.4 ,180.6 ,,,,,,,,
,194,159.7 ,163.2 ,166.6 ,170.3 ,174.0 ,177.5 ,180.7 ,,,,,,,,
,195,159.9 ,163.4 ,166.8 ,170.5 ,174.2 ,177.7 ,180.8 ,,,,,,,,
,196,160.1 ,163.6 ,166.9 ,170.7 ,174.3 ,177.8 ,180.8 ,,,,,,,,
,197,160.3 ,163.8 ,167.1 ,170.8 ,174.4 ,177.9 ,180.9 ,,,,,,,,
,198,160.5 ,164.0 ,167.3 ,171.0 ,174.5 ,178.0 ,181.0 ,,,,,,,,
,199,160.6 ,164.1 ,167.4 ,171.1 ,174.6 ,178.1 ,181.1 ,,,,,,,,
,200,160.6 ,164.2 ,167.4 ,171.2 ,174.6 ,178.2 ,181.2 ,,,,,,,,
,201,160.7 ,164.3 ,167.5 ,171.3 ,174.7 ,178.3 ,181.3 ,,,,,,,,
,202,160.8 ,164.3 ,167.6 ,171.3 ,174.7 ,178.3 ,181.3 ,,,,,,,,
,203,160.8 ,164.4 ,167.6 ,171.4 ,174.8 ,178.4 ,181.4 ,,,,,,,,
,204,160.9 ,164.5 ,167.7 ,171.5 ,174.8 ,178.5 ,181.5 ,,,,,,,,
,205,161.0 ,164.6 ,167.8 ,171.6 ,174.8 ,178.6 ,181.6 ,,,,,,,,
,206,161.0 ,164.7 ,167.8 ,171.7 ,174.9 ,178.7 ,181.7 ,,,,,,,,
,207,161.1 ,164.8 ,167.9 ,171.8 ,174.9 ,178.8 ,181.8 ,,,,,,,,
,208,161.2 ,164.8 ,167.9 ,171.8 ,174.9 ,178.8 ,181.8 ,,,,,,,,
,209,161.2 ,164.9 ,168.0 ,171.9 ,175.0 ,178.9 ,181.9 ,,,,,,,,
,210,161.3 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,211,161.3 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,212,161.4 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,213,161.4 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,214,161.4 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,215,161.5 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,216,161.5 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,217,161.6 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,218,161.7 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,219,161.8 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,220,161.8 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,221,161.9 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,222,162.0 ,165.0 ,168.0 ,172.0 ,175.0 ,179.0 ,182.0 ,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
