months,P3,P15,P25,P50,P75,P85,P97
73,16.1 ,17.9 ,18.7 ,20.7 ,23.0 ,24.4 ,29.0 
74,16.2 ,18.0 ,18.9 ,20.9 ,23.2 ,24.7 ,29.3 
75,16.4 ,18.2 ,19.1 ,21.1 ,23.4 ,24.9 ,29.7 
76,16.5 ,18.3 ,19.2 ,21.3 ,23.6 ,25.1 ,30.1 
77,16.7 ,18.5 ,19.4 ,21.5 ,23.8 ,25.4 ,30.4 
78,16.8 ,18.6 ,19.6 ,21.7 ,24.0 ,25.6 ,30.8 
79,17.0 ,18.8 ,19.8 ,21.9 ,24.2 ,25.9 ,31.2 
80,17.1 ,18.9 ,19.9 ,22.1 ,24.4 ,26.1 ,31.5 
81,17.3 ,19.1 ,20.1 ,22.3 ,24.7 ,26.4 ,31.9 
82,17.5 ,19.3 ,20.3 ,22.4 ,24.9 ,26.6 ,32.2 
83,17.6 ,19.4 ,20.4 ,22.6 ,25.1 ,26.9 ,32.6 
84,17.8 ,19.6 ,20.6 ,22.8 ,25.3 ,27.1 ,32.9 
85,18.0 ,19.8 ,20.8 ,23.0 ,25.5 ,27.4 ,33.3 
86,18.1 ,19.9 ,20.9 ,23.2 ,25.7 ,27.6 ,33.6 
87,18.3 ,20.1 ,21.1 ,23.4 ,26.0 ,27.9 ,34.0 
88,18.4 ,20.3 ,21.3 ,23.6 ,26.2 ,28.2 ,34.3 
89,18.6 ,20.4 ,21.4 ,23.8 ,26.4 ,28.4 ,34.7 
90,18.7 ,20.6 ,21.6 ,24.0 ,26.6 ,28.7 ,35.0 
91,18.9 ,20.8 ,21.8 ,24.2 ,26.9 ,29.1 ,35.4 
92,19.0 ,21.0 ,22.0 ,24.5 ,27.2 ,29.4 ,35.9 
93,19.2 ,21.2 ,22.2 ,24.7 ,27.5 ,29.8 ,36.3 
94,19.3 ,21.3 ,22.4 ,24.9 ,27.8 ,30.1 ,36.7 
95,19.5 ,21.5 ,22.6 ,25.2 ,28.1 ,30.5 ,37.2 
96,19.6 ,21.7 ,22.8 ,25.4 ,28.4 ,30.8 ,37.6 
97,19.7 ,21.9 ,23.0 ,25.6 ,28.7 ,31.2 ,38.1 
98,19.9 ,22.1 ,23.2 ,25.9 ,29.0 ,31.5 ,38.5 
99,20.0 ,22.3 ,23.4 ,26.1 ,29.3 ,31.9 ,39.0 
100,20.1 ,22.4 ,23.6 ,26.3 ,29.5 ,32.3 ,39.4 
101,20.3 ,22.6 ,23.8 ,26.6 ,29.8 ,32.6 ,39.9 
102,20.4 ,22.8 ,24.0 ,26.8 ,30.1 ,33.0 ,40.3 
103,20.6 ,23.0 ,24.2 ,27.0 ,30.4 ,33.4 ,40.7 
104,20.8 ,23.2 ,24.4 ,27.3 ,30.7 ,33.7 ,41.1 
105,21.0 ,23.4 ,24.7 ,27.5 ,31.1 ,34.1 ,41.6 
106,21.1 ,23.6 ,24.9 ,27.7 ,31.4 ,34.5 ,42.0 
107,21.3 ,23.8 ,25.1 ,28.0 ,31.7 ,34.8 ,42.4 
108,21.5 ,24.0 ,25.3 ,28.2 ,32.0 ,35.2 ,42.8 
109,21.7 ,24.2 ,25.5 ,28.5 ,32.3 ,35.6 ,43.2 
110,21.8 ,24.3 ,25.7 ,28.7 ,32.7 ,36.0 ,43.5 
111,22.0 ,24.5 ,26.0 ,29.0 ,33.0 ,36.4 ,43.9 
112,22.2 ,24.7 ,26.2 ,29.2 ,33.3 ,36.7 ,44.3 
113,22.3 ,24.8 ,26.4 ,29.5 ,33.7 ,37.1 ,44.6 
114,22.5 ,25.0 ,26.6 ,29.7 ,34.0 ,37.5 ,45.0 
115,22.7 ,25.3 ,26.9 ,30.1 ,34.5 ,37.9 ,45.4 
116,22.9 ,25.5 ,27.1 ,30.4 ,34.9 ,38.3 ,45.8 
117,23.2 ,25.8 ,27.4 ,30.8 ,35.4 ,38.8 ,46.2 
118,23.4 ,26.0 ,27.7 ,31.1 ,35.8 ,39.2 ,46.5 
119,23.6 ,26.3 ,27.9 ,31.5 ,36.3 ,39.6 ,46.9 
120,23.8 ,26.5 ,28.2 ,31.8 ,36.7 ,40.0 ,47.3 
121,24.0 ,26.8 ,28.5 ,32.2 ,37.2 ,40.5 ,47.8 
122,24.2 ,27.0 ,28.8 ,32.5 ,37.6 ,40.9 ,48.2 
123,24.4 ,27.3 ,29.1 ,32.9 ,38.1 ,41.4 ,48.7 
124,24.6 ,27.6 ,29.4 ,33.3 ,38.5 ,41.8 ,49.2 
125,24.8 ,27.8 ,29.7 ,33.6 ,39.0 ,42.3 ,49.6 
126,25.0 ,28.1 ,30.0 ,34.0 ,39.4 ,42.7 ,50.1 
127,25.3 ,28.5 ,30.4 ,34.4 ,39.9 ,43.2 ,50.6 
128,25.5 ,28.8 ,30.8 ,34.8 ,40.3 ,43.6 ,51.1 
129,25.8 ,29.2 ,31.3 ,35.3 ,40.8 ,44.1 ,51.6 
130,26.0 ,29.6 ,31.7 ,35.7 ,41.3 ,44.6 ,52.0 
131,26.3 ,29.9 ,32.1 ,36.1 ,41.7 ,45.0 ,52.5 
132,26.5 ,30.3 ,32.5 ,36.5 ,42.2 ,45.5 ,53.0 
133,26.8 ,30.7 ,32.9 ,37.0 ,42.7 ,46.0 ,53.5 
134,27.0 ,31.0 ,33.3 ,37.5 ,43.1 ,46.4 ,53.9 
135,27.3 ,31.4 ,33.8 ,38.0 ,43.6 ,46.9 ,54.4 
136,27.5 ,31.8 ,34.2 ,38.5 ,44.1 ,47.3 ,54.9 
137,27.8 ,32.1 ,34.6 ,39.0 ,44.5 ,47.8 ,55.3 
138,28.0 ,32.5 ,35.0 ,39.5 ,45.0 ,48.2 ,55.8 
139,28.3 ,32.9 ,35.4 ,39.9 ,45.3 ,48.5 ,56.1 
140,28.6 ,33.3 ,35.7 ,40.2 ,45.7 ,48.8 ,56.5 
141,28.9 ,33.7 ,36.1 ,40.6 ,46.0 ,49.2 ,56.8 
142,29.2 ,34.0 ,36.4 ,41.0 ,46.3 ,49.5 ,57.1 
143,29.5 ,34.4 ,36.8 ,41.3 ,46.7 ,49.8 ,57.5 
144,29.8 ,34.8 ,37.1 ,41.7 ,47.0 ,50.1 ,57.8 
145,30.1 ,35.2 ,37.4 ,42.0 ,47.3 ,50.4 ,58.1 
146,30.4 ,35.5 ,37.8 ,42.4 ,47.7 ,50.7 ,58.4 
147,30.7 ,35.9 ,38.1 ,42.7 ,48.0 ,51.1 ,58.8 
148,30.9 ,36.3 ,38.4 ,43.0 ,48.3 ,51.4 ,59.1 
149,31.2 ,36.6 ,38.8 ,43.4 ,48.7 ,51.7 ,59.4 
150,31.5 ,37.0 ,39.1 ,43.7 ,49.0 ,52.0 ,59.7 
151,31.8 ,37.3 ,39.4 ,44.0 ,49.3 ,52.3 ,60.0 
